interval_begin,interval_end,interval_id,edge_arrived,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_sampledSeconds
720.00,780.00,e_plsr_to_rp1,0,0,3,591402342#1,0,0,3,5.00
720.00,780.00,e_plsr_to_rp1,0,0,3,689277290#0,0,0,3,33.62
720.00,780.00,e_plsr_to_rp1,0,0,3,689277290#1,0,0,3,31.12
720.00,780.00,e_grgn_to_rp1,0,0,8,34778584#0,0,0,9,106.30
720.00,780.00,e_grgn_to_rp1,0,0,9,34778584#1,0,0,8,8.13
780.00,840.00,e_r2ps_to_rp1,0,0,4,689277284#1,0,0,1,706.21
780.00,840.00,e_r2ps_to_rp1,0,0,1,689277284#2,0,0,1,58.57
780.00,840.00,e_r2pn_0_to_rp1,0,0,3,689277282,0,0,4,29.96
780.00,840.00,e_r2pn_0_to_rp1,0,0,7,881567590#0,2,2,7,23.85
780.00,840.00,e_r2pn_0_to_rp1,0,0,7,881567590#1,0,0,8,38.24
780.00,840.00,e_r2pn_1_to_rp1,0,0,3,1107701847.173,0,0,3,4.20
780.00,840.00,e_r2pn_1_to_rp1,0,0,7,881567590#1,0,0,8,38.24
780.00,840.00,e_plsr_to_rp1,0,0,9,22674672,0,0,9,45.66
780.00,840.00,e_plsr_to_rp1,0,0,9,591402342#0,0,0,7,42.76
780.00,840.00,e_plsr_to_rp1,0,0,7,591402342#1,0,0,5,22.45
780.00,840.00,e_plsr_to_rp1,0,0,4,689277290#0,0,0,2,125.19
780.00,840.00,e_plsr_to_rp1,0,0,2,689277290#1,0,0,2,57.35
780.00,840.00,e_grgn_to_rp1,0,0,3,34778584#0,0,0,5,43.82
780.00,840.00,e_grgn_to_rp1,0,0,5,34778584#1,0,0,6,7.93
840.00,900.00,e_r2ps_to_rp1,0,0,3,689277284#1,0,0,1,945.29
840.00,900.00,e_r2ps_to_rp1,0,0,1,689277284#2,0,0,1,35.04
840.00,900.00,e_r2pn_0_to_rp1,0,0,6,689277282,0,0,6,65.50
840.00,900.00,e_r2pn_0_to_rp1,0,0,8,881567590#0,1,1,6,24.36
840.00,900.00,e_r2pn_0_to_rp1,0,0,6,881567590#1,0,0,5,13.65
840.00,900.00,e_r2pn_1_to_rp1,0,0,2,1107701847.173,0,0,2,3.03
840.00,900.00,e_r2pn_1_to_rp1,0,0,6,881567590#1,0,0,5,13.65
840.00,900.00,e_plsr_to_rp1,0,0,11,22674672,0,0,10,61.94
840.00,900.00,e_plsr_to_rp1,0,0,10,591402342#0,0,0,6,173.32
840.00,900.00,e_plsr_to_rp1,0,0,5,591402342#1,0,0,5,102.08
840.00,900.00,e_plsr_to_rp1,0,0,6,689277290#0,0,0,7,122.91
840.00,900.00,e_plsr_to_rp1,0,0,7,689277290#1,0,0,7,53.20
840.00,900.00,e_grgn_to_rp1,0,0,5,34778584#0,0,0,4,48.04
840.00,900.00,e_grgn_to_rp1,0,0,4,34778584#1,0,0,4,6.22
900.00,960.00,e_r2ps_to_rp1,0,0,0,689277284#1,0,0,1,958.63
900.00,960.00,e_r2ps_to_rp1,0,0,1,689277284#2,0,0,2,53.33
900.00,960.00,e_r2pn_0_to_rp1,0,0,3,689277282,0,0,3,28.19
900.00,960.00,e_r2pn_0_to_rp1,0,0,5,881567590#0,2,2,7,36.37
900.00,960.00,e_r2pn_0_to_rp1,0,0,7,881567590#1,1,1,7,35.48
900.00,960.00,e_r2pn_1_to_rp1,0,0,2,1107701847.173,0,0,2,2.90
900.00,960.00,e_r2pn_1_to_rp1,0,0,7,881567590#1,1,1,7,35.48
900.00,960.00,e_plsr_to_rp1,0,0,7,22674672,0,0,5,96.63
900.00,960.00,e_plsr_to_rp1,0,0,5,591402342#0,0,0,5,298.13
900.00,960.00,e_plsr_to_rp1,0,0,5,591402342#1,0,0,5,105.47
900.00,960.00,e_plsr_to_rp1,0,0,5,689277290#0,0,0,5,124.78
900.00,960.00,e_plsr_to_rp1,0,0,5,689277290#1,0,0,5,53.53
900.00,960.00,e_grgn_to_rp1,0,1,1,34778584#0,0,0,2,39.40
900.00,960.00,e_grgn_to_rp1,0,0,2,34778584#1,0,0,1,4.88
960.00,1020.00,e_r2ps_to_rp1,0,0,2,689277284#1,0,0,7,715.65
960.00,1020.00,e_r2ps_to_rp1,0,0,7,689277284#2,0,0,7,8.49
960.00,1020.00,e_r2pn_0_to_rp1,0,0,6,689277282,0,0,6,72.05
960.00,1020.00,e_r2pn_0_to_rp1,0,0,7,881567590#0,0,0,6,20.56
960.00,1020.00,e_r2pn_0_to_rp1,0,0,6,881567590#1,0,0,7,12.41
960.00,1020.00,e_r2pn_1_to_rp1,0,0,3,1107701847.173,0,0,3,4.25
960.00,1020.00,e_r2pn_1_to_rp1,0,0,6,881567590#1,0,0,7,12.41
960.00,1020.00,e_plsr_to_rp1,0,0,9,22674672,0,0,10,190.98
960.00,1020.00,e_plsr_to_rp1,0,0,10,591402342#0,0,0,14,258.25
960.00,1020.00,e_plsr_to_rp1,0,0,14,591402342#1,0,0,14,84.97
960.00,1020.00,e_plsr_to_rp1,0,0,14,689277290#0,0,0,15,103.10
960.00,1020.00,e_plsr_to_rp1,0,0,14,689277290#1,0,0,15,40.33
960.00,1020.00,e_grgn_to_rp1,0,0,2,34778584#0,0,0,3,29.54
960.00,1020.00,e_grgn_to_rp1,0,0,3,34778584#1,0,0,4,19.83
1020.00,1080.00,e_r2ps_to_rp1,0,0,6,689277284#1,0,0,1,723.27
1020.00,1080.00,e_r2ps_to_rp1,0,0,1,689277284#2,0,0,0,55.34
1020.00,1080.00,e_r2pn_0_to_rp1,0,0,5,689277282,0,0,5,53.45
1020.00,1080.00,e_r2pn_0_to_rp1,0,0,11,881567590#0,3,3,12,37.51
1020.00,1080.00,e_r2pn_0_to_rp1,0,0,11,881567590#1,0,0,11,28.29
1020.00,1080.00,e_r2pn_1_to_rp1,0,1,3,1107701847.173,0,0,4,7.25
1020.00,1080.00,e_r2pn_1_to_rp1,0,0,11,881567590#1,0,0,11,28.29
1020.00,1080.00,e_plsr_to_rp1,0,0,3,22674672,0,0,4,21.61
1020.00,1080.00,e_plsr_to_rp1,0,0,4,591402342#0,0,0,6,26.60
1020.00,1080.00,e_plsr_to_rp1,0,0,6,591402342#1,0,0,7,32.06
1020.00,1080.00,e_plsr_to_rp1,0,0,7,689277290#0,0,0,6,81.45
1020.00,1080.00,e_plsr_to_rp1,0,0,7,689277290#1,0,0,6,53.59
1020.00,1080.00,e_grgn_to_rp1,0,0,11,34778584#0,0,0,9,165.96
1020.00,1080.00,e_grgn_to_rp1,0,0,9,34778584#1,0,0,9,17.59
1080.00,1140.00,e_r2ps_to_rp1,0,0,2,689277284#1,0,0,1,960.72
1080.00,1140.00,e_r2ps_to_rp1,0,0,1,689277284#2,0,0,1,56.15
1080.00,1140.00,e_r2pn_0_to_rp1,0,0,5,689277282,0,0,3,42.22
1080.00,1140.00,e_r2pn_0_to_rp1,0,0,8,881567590#0,1,1,6,50.21
1080.00,1140.00,e_r2pn_0_to_rp1,0,0,6,881567590#1,0,0,5,32.44
1080.00,1140.00,e_r2pn_1_to_rp1,0,0,6,1107701847.173,0,0,6,9.92
1080.00,1140.00,e_r2pn_1_to_rp1,0,0,6,881567590#1,0,0,5,32.44
1080.00,1140.00,e_plsr_to_rp1,0,0,3,22674672,0,0,3,14.05
1080.00,1140.00,e_plsr_to_rp1,0,0,3,591402342#0,0,0,2,32.53
1080.00,1140.00,e_plsr_to_rp1,0,0,2,591402342#1,0,0,1,108.90
1080.00,1140.00,e_plsr_to_rp1,0,0,1,689277290#0,0,0,1,117.31
1080.00,1140.00,e_plsr_to_rp1,0,0,1,689277290#1,0,0,1,50.68
1080.00,1140.00,e_grgn_to_rp1,0,0,3,34778584#0,0,0,4,50.29
1080.00,1140.00,e_grgn_to_rp1,0,0,4,34778584#1,0,0,3,18.20
1140.00,1200.00,e_r2ps_to_rp1,0,0,2,689277284#1,0,0,1,987.98
1140.00,1200.00,e_r2ps_to_rp1,0,0,1,689277284#2,0,0,1,58.09
1140.00,1200.00,e_r2pn_0_to_rp1,0,0,8,689277282,0,0,10,108.65
1140.00,1200.00,e_r2pn_0_to_rp1,0,0,15,881567590#0,4,4,16,118.35
1140.00,1200.00,e_r2pn_0_to_rp1,1,0,16,881567590#1,0,0,16,36.71
1140.00,1200.00,e_r2pn_1_to_rp1,0,0,4,1107701847.173,0,0,4,6.01
1140.00,1200.00,e_r2pn_1_to_rp1,1,0,16,881567590#1,0,0,16,36.71
1140.00,1200.00,e_plsr_to_rp1,0,0,8,22674672,0,0,6,38.40
1140.00,1200.00,e_plsr_to_rp1,0,0,6,591402342#0,0,0,1,229.85
1140.00,1200.00,e_plsr_to_rp1,0,0,1,591402342#1,0,0,1,116.39
1140.00,1200.00,e_plsr_to_rp1,0,0,1,689277290#0,0,0,1,117.20
1140.00,1200.00,e_plsr_to_rp1,0,0,1,689277290#1,0,0,1,38.58
1140.00,1200.00,e_grgn_to_rp1,0,0,4,34778584#0,0,0,3,69.18
1140.00,1200.00,e_grgn_to_rp1,0,0,3,34778584#1,0,0,4,37.02
1200.00,1260.00,e_r2ps_to_rp1,0,0,0,689277284#1,0,0,0,1020.00
1200.00,1260.00,e_r2ps_to_rp1,0,0,0,689277284#2,0,0,0,60.00
1200.00,1260.00,e_r2pn_0_to_rp1,0,0,5,689277282,0,0,4,46.09
1200.00,1260.00,e_r2pn_0_to_rp1,0,0,10,881567590#0,0,0,9,50.94
1200.00,1260.00,e_r2pn_0_to_rp1,0,0,10,881567590#1,0,0,9,58.17
1200.00,1260.00,e_r2pn_1_to_rp1,0,0,7,1107701847.173,0,0,6,8.58
1200.00,1260.00,e_r2pn_1_to_rp1,0,0,10,881567590#1,0,0,9,58.17
1200.00,1260.00,e_plsr_to_rp1,0,0,5,22674672,0,0,1,374.65
1200.00,1260.00,e_plsr_to_rp1,0,0,1,591402342#0,0,0,1,352.51
1200.00,1260.00,e_plsr_to_rp1,0,0,1,591402342#1,0,0,1,116.46
1200.00,1260.00,e_plsr_to_rp1,0,0,1,689277290#0,0,0,1,116.98
1200.00,1260.00,e_plsr_to_rp1,0,0,1,689277290#1,0,0,1,43.61
1200.00,1260.00,e_grgn_to_rp1,0,0,2,34778584#0,0,0,3,39.43
1200.00,1260.00,e_grgn_to_rp1,0,0,3,34778584#1,0,0,2,17.09
1260.00,1320.00,e_r2ps_to_rp1,0,0,2,689277284#1,0,0,4,951.24
1260.00,1320.00,e_r2ps_to_rp1,0,0,4,689277284#2,0,0,4,51.79
1260.00,1320.00,e_r2pn_0_to_rp1,0,0,4,689277282,0,0,5,39.10
1260.00,1320.00,e_r2pn_0_to_rp1,0,0,11,881567590#0,2,2,13,93.32
1260.00,1320.00,e_r2pn_0_to_rp1,0,0,12,881567590#1,0,0,12,37.16
1260.00,1320.00,e_r2pn_1_to_rp1,0,0,5,1107701847.173,0,0,6,10.29
1260.00,1320.00,e_r2pn_1_to_rp1,0,0,12,881567590#1,0,0,12,37.16
1260.00,1320.00,e_plsr_to_rp1,0,0,1,22674672,0,0,0,477.25
1260.00,1320.00,e_plsr_to_rp1,0,0,0,591402342#0,0,0,1,358.75
1260.00,1320.00,e_plsr_to_rp1,0,0,0,591402342#1,0,0,2,116.76
1260.00,1320.00,e_plsr_to_rp1,0,0,1,689277290#0,0,0,2,113.84
1260.00,1320.00,e_plsr_to_rp1,0,0,2,689277290#1,0,0,3,48.52
1260.00,1320.00,e_grgn_to_rp1,0,0,3,34778584#0,0,0,3,43.71
1260.00,1320.00,e_grgn_to_rp1,0,0,3,34778584#1,0,0,4,9.40
1320.00,1380.00,e_r2ps_to_rp1,0,0,3,689277284#1,0,0,2,949.35
1320.00,1380.00,e_r2ps_to_rp1,0,0,2,689277284#2,0,0,2,40.53
1320.00,1380.00,e_r2pn_0_to_rp1,0,0,9,689277282,0,0,7,147.55
1320.00,1380.00,e_r2pn_0_to_rp1,1,1,7,881567590#0,1,1,6,121.49
