interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
4020.00,4080.00,e_rp2_to_rp3,0,26.17,0,17,542209565,14,14,13.09,20,6.37,20.31,389.07,12.45,0.90,37.65,19.73,0.00
4020.00,4080.00,e_rp2_to_rp3,0,266.67,0,20,136182032#1,0,0,133.33,20,8.12,0.52,10.33,10.27,0.74,1.77,0.03,0.00
4080.00,4140.00,e_rp2_to_rp3,0,23.02,0,18,542209565,17,17,11.51,16,5.59,20.25,342.15,12.48,0.90,38.44,19.64,0.00
4080.00,4140.00,e_rp2_to_rp3,0,266.67,0,16,136182032#1,0,0,133.33,16,6.70,0.53,8.51,9.96,0.72,1.96,0.03,0.00
4140.00,4200.00,e_rp2_to_rp3,0,28.11,0,21,542209565,16,16,14.06,18,6.84,20.77,417.90,12.17,0.88,45.73,20.21,0.00
4140.00,4200.00,e_rp2_to_rp3,0,266.67,0,19,136182032#1,0,0,133.33,19,7.69,0.51,9.78,10.30,0.74,2.11,0.03,0.00
4200.00,4260.00,e_rp2_to_rp3,0,27.57,0,20,542209565,20,20,13.79,20,6.70,21.14,409.90,11.96,0.86,50.52,20.52,0.00
4200.00,4260.00,e_rp2_to_rp3,0,266.67,0,20,136182032#1,0,0,133.33,20,8.47,0.56,10.77,9.52,0.69,2.56,0.03,0.00
4260.00,4320.00,e_rp2_to_rp3,0,27.25,0,19,542209565,13,13,13.63,19,6.64,20.77,405.14,12.17,0.88,51.33,20.22,0.00
4260.00,4320.00,e_rp2_to_rp3,0,266.67,0,19,136182032#1,0,0,133.33,19,7.79,0.50,9.87,10.53,0.76,1.87,0.03,0.00
4320.00,4380.00,e_rp2_to_rp3,0,16.29,0,8,542209565,7,7,8.15,16,3.96,21.02,242.20,12.03,0.87,30.39,20.36,0.00
4320.00,4380.00,e_rp2_to_rp3,0,266.67,0,16,136182032#1,0,0,133.33,16,6.76,0.54,8.61,9.87,0.71,2.16,0.03,0.00
4380.00,4440.00,e_rp2_to_rp3,0,5.99,0,5,542209565,3,3,3.00,3,1.47,19.80,89.08,12.77,0.92,6.92,19.29,0.00
4380.00,4440.00,e_rp2_to_rp3,0,88.13,0,3,136182032#1,0,0,44.06,3,1.25,0.53,1.59,10.02,0.72,0.25,0.03,0.00
4440.00,4500.00,e_rp2_to_rp3,0,6.15,0,4,542209565,2,2,3.08,6,1.49,20.38,91.43,12.40,0.89,8.44,19.72,0.00
4440.00,4500.00,e_rp2_to_rp3,0,175.78,0,6,136182032#1,0,0,87.89,6,2.49,0.53,3.16,10.05,0.72,0.62,0.03,0.00
4500.00,4560.00,e_rp2_to_rp3,0,5.92,0,5,542209565,4,4,2.96,4,1.45,19.99,88.00,12.64,0.91,6.86,19.48,0.00
4500.00,4560.00,e_rp2_to_rp3,0,117.39,0,4,136182032#1,0,0,58.70,4,1.66,0.53,2.11,10.03,0.72,0.38,0.03,0.00
4560.00,4620.00,e_rp2_to_rp3,0,10.78,0,9,542209565,5,5,5.39,7,2.62,19.89,160.30,12.71,0.91,12.44,19.31,0.00
4560.00,4620.00,e_rp2_to_rp3,0,200.20,0,7,136182032#1,0,0,100.10,7,2.83,0.51,3.60,10.30,0.74,0.54,0.03,0.00
4620.00,4680.00,e_rp2_to_rp3,0,6.76,0,4,542209565,3,3,3.38,6,1.65,20.13,100.46,12.55,0.90,7.72,19.47,0.00
4620.00,4680.00,e_rp2_to_rp3,0,178.38,0,6,136182032#1,0,0,89.19,6,2.53,0.54,3.21,9.90,0.71,0.64,0.03,0.00
4680.00,4740.00,e_rp2_to_rp3,0,4.48,0,3,542209565,3,3,2.24,4,1.10,19.20,66.60,13.16,0.95,5.54,18.72,0.00
4680.00,4740.00,e_rp2_to_rp3,0,125.80,0,4,136182032#1,0,0,62.90,4,1.78,0.57,2.26,9.36,0.67,0.62,0.03,0.00
4740.00,4800.00,e_rp2_to_rp3,0,6.81,0,6,542209565,5,5,3.41,3,1.67,21.06,101.26,12.00,0.86,6.75,20.59,0.00
4740.00,4800.00,e_rp2_to_rp3,0,80.03,0,3,136182032#1,0,0,40.02,3,1.13,0.48,1.44,11.04,0.79,0.08,0.03,0.00
4800.00,4860.00,e_rp2_to_rp3,0,7.01,0,6,542209565,4,4,3.50,5,1.71,21.34,104.20,11.84,0.85,8.04,20.82,0.00
4800.00,4860.00,e_rp2_to_rp3,0,151.96,0,5,136182032#1,0,0,75.98,5,2.15,0.55,2.74,9.69,0.70,0.39,0.03,0.00
4860.00,4920.00,e_rp2_to_rp3,0,6.44,0,3,542209565,2,2,3.22,6,1.58,19.83,95.71,12.74,0.92,6.29,19.30,0.00
4860.00,4920.00,e_rp2_to_rp3,0,156.11,0,6,136182032#1,0,0,78.05,6,2.21,0.47,2.81,11.32,0.81,0.18,0.03,0.00
4920.00,4980.00,e_rp2_to_rp3,0,6.99,0,5,542209565,3,3,3.49,4,1.71,20.67,103.84,12.23,0.88,8.15,20.15,0.00
4920.00,4980.00,e_rp2_to_rp3,0,115.93,0,4,136182032#1,0,0,57.97,4,1.64,0.52,2.09,10.16,0.73,0.37,0.03,0.00
4980.00,5040.00,e_rp2_to_rp3,0,3.88,0,4,542209565,4,4,1.94,3,0.94,20.32,57.64,12.44,0.90,5.38,19.72,0.00
4980.00,5040.00,e_rp2_to_rp3,0,83.09,0,3,136182032#1,0,0,41.55,3,1.18,0.50,1.50,10.63,0.77,0.19,0.03,0.00
