interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
2400.00,2460.00,75.00,z_r2pn_to_rp1_0,75.00,508.95,67,22.00,22.00,23.70,3,9.00,4,9.38,9.38,8.48,1.12,6.95,7.82,11.84,3.25,7,7,9,189.46,8.00
2400.00,2460.00,13.00,z_r2pn_to_rp1_1,13.00,59.17,12,13.00,13.00,4.93,1,15.71,3,13.00,13.00,0.99,0.20,6.66,6.08,4.20,1.03,6,7,7,55.85,1.00
2460.00,2520.00,150.00,z_r2pn_to_rp1_0,148.00,929.43,139,33.00,33.00,46.03,6,18.95,9,12.50,12.33,15.41,2.30,11.00,6.54,13.47,5.00,12,6,14,292.79,12.00
2460.00,2520.00,18.00,z_r2pn_to_rp1_1,18.00,49.95,10,5.00,5.00,5.00,1,31.42,4,2.25,2.25,0.83,0.17,11.93,5.19,7.17,1.68,8,8,8,94.00,8.00
2520.00,2580.00,254.00,z_r2pn_to_rp1_0,193.00,1275.60,179,28.00,28.00,52.54,7,20.67,10,8.19,6.22,20.18,2.77,16.85,4.80,17.37,7.32,10,11,18,430.27,27.00
2520.00,2580.00,5.00,z_r2pn_to_rp1_1,5.00,15.00,3,4.00,4.00,5.00,1,15.71,2,2.50,2.50,0.25,0.05,2.31,4.11,3.47,0.37,4,4,4,19.89,2.00
2580.00,2640.00,44.00,z_r2pn_to_rp1_0,44.00,249.08,37,9.00,9.00,36.50,5,14.37,7,6.29,6.29,4.15,0.62,4.07,4.53,9.10,1.98,2,8,9,113.85,7.00
2580.00,2640.00,2.00,z_r2pn_to_rp1_1,2.00,4.93,1,2.00,2.00,4.93,1,23.46,3,2.00,2.00,0.08,0.02,4.48,9.22,2.28,0.70,6,6,6,37.46,1.00
2640.00,2700.00,55.00,z_r2pn_to_rp1_0,55.00,303.92,52,24.00,24.00,12.37,2,11.16,5,18.33,18.33,5.07,0.87,5.39,8.69,10.96,2.55,6,4,7,147.28,3.00
2640.00,2700.00,0.00,z_r2pn_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,7.86,1,0.00,0.00,0.00,0.00,2.12,11.63,1.00,0.33,3,3,3,17.33,0.00
2700.00,2760.00,22.00,z_r2pn_to_rp1_0,22.00,95.00,19,19.00,19.00,5.00,1,12.01,6,7.33,7.33,1.58,0.32,5.70,12.62,3.96,2.67,9,10,12,152.72,5.00
2700.00,2760.00,14.00,z_r2pn_to_rp1_1,14.00,55.01,10,6.00,6.00,12.51,2,30.61,4,3.50,3.50,0.92,0.17,11.23,7.19,2.95,1.70,14,12,14,91.03,4.00
2760.00,2820.00,164.00,z_r2pn_to_rp1_0,163.00,1159.16,150,37.00,37.00,59.96,5,20.26,9,11.71,11.64,19.32,2.50,12.40,6.03,18.47,5.65,10,6,12,332.97,14.00
2760.00,2820.00,75.00,z_r2pn_to_rp1_1,75.00,482.73,82,18.00,18.00,23.88,3,31.31,4,8.33,8.33,7.96,1.35,15.64,2.18,14.71,2.43,6,7,8,141.50,10.00
2820.00,2880.00,38.00,z_r2pn_to_rp1_0,38.00,381.21,57,17.00,17.00,23.81,4,13.50,6,7.60,7.60,6.35,0.95,6.68,7.11,9.15,3.13,6,9,12,183.29,8.00
2820.00,2880.00,58.00,z_r2pn_to_rp1_1,58.00,405.62,54,21.00,21.00,23.90,3,23.57,3,14.50,14.50,6.76,0.90,12.45,2.95,11.00,1.77,6,7,7,100.85,4.00
2880.00,2940.00,278.00,z_r2pn_to_rp1_0,278.00,1951.16,264,49.00,49.00,68.78,9,25.70,11,19.86,19.86,32.13,4.35,16.91,4.06,27.27,7.13,9,2,12,423.11,14.00
2880.00,2940.00,6.00,z_r2pn_to_rp1_1,6.00,25.00,5,6.00,6.00,5.00,1,15.71,2,6.00,6.00,0.42,0.08,3.51,7.59,2.93,0.53,4,3,4,28.59,1.00
2940.00,3000.00,726.00,z_r2pn_to_rp1_0,617.00,4721.84,604,63.00,60.00,108.37,14,32.36,14,33.00,28.05,76.86,9.85,28.51,1.40,42.42,12.30,6,2,16,734.95,14.00
2940.00,3000.00,20.00,z_r2pn_to_rp1_1,20.00,73.55,14,9.00,9.00,14.55,2,23.57,3,3.33,3.33,1.23,0.23,8.62,5.02,5.61,1.28,7,6,8,70.79,6.00
3000.00,3060.00,1106.00,z_r2pn_to_rp1_0,509.00,3519.87,469,74.00,27.00,108.33,14,34.71,16,20.48,9.43,55.65,7.35,29.70,2.06,34.54,13.17,6,10,20,783.35,40.00
3000.00,3060.00,8.00,z_r2pn_to_rp1_1,8.00,25.00,5,5.00,5.00,5.00,1,21.96,3,2.67,2.67,0.42,0.08,7.21,8.26,3.00,1.15,7,9,9,60.25,3.00
3060.00,3120.00,450.00,z_r2pn_to_rp1_0,377.00,2619.15,357,45.00,45.00,74.64,10,25.70,11,16.07,13.46,43.24,5.87,21.66,2.65,26.13,9.30,8,7,18,552.33,21.00
3060.00,3120.00,153.00,z_r2pn_to_rp1_1,153.00,1027.75,144,35.00,35.00,39.36,5,39.17,5,17.00,17.00,17.05,2.38,23.73,1.01,23.93,3.05,7,2,7,180.94,9.00
3120.00,3180.00,844.00,z_r2pn_to_rp1_0,534.00,3484.78,477,45.00,18.00,82.84,11,29.26,13,12.60,7.97,48.44,6.53,26.32,1.64,36.71,11.53,6,4,17,687.78,57.00
3120.00,3180.00,316.00,z_r2pn_to_rp1_1,239.00,1499.00,207,57.00,24.00,53.94,7,62.74,8,8.54,6.46,24.11,3.28,44.00,1.16,31.25,5.78,5,7,10,342.16,32.00
3180.00,3240.00,434.00,z_r2pn_to_rp1_0,381.00,2197.90,309,12.00,12.00,56.70,7,31.51,14,4.72,4.14,28.47,3.92,25.87,2.35,31.80,11.68,6,10,19,694.29,84.00
3180.00,3240.00,14.00,z_r2pn_to_rp1_1,14.00,39.59,8,4.00,4.00,5.00,1,20.14,3,2.33,2.33,0.66,0.13,9.67,5.29,4.07,1.52,9,11,12,82.58,6.00
3240.00,3300.00,470.00,z_r2pn_to_rp1_0,440.00,2911.57,410,28.00,28.00,65.80,9,27.01,12,13.05,12.22,46.53,6.47,22.47,2.08,33.18,10.05,7,4,16,598.36,30.00
3240.00,3300.00,34.00,z_r2pn_to_rp1_1,34.00,150.52,29,16.00,16.00,16.48,2,23.46,3,6.80,6.80,2.51,0.48,9.31,3.85,10.59,1.27,4,5,5,73.00,5.00
3300.00,3360.00,702.00,z_r2pn_to_rp1_0,690.00,4820.12,657,36.00,36.00,125.02,17,40.51,18,14.94,14.68,75.98,10.32,35.30,1.93,36.58,15.85,11,8,23,942.18,42.00
3300.00,3360.00,4.00,z_r2pn_to_rp1_1,4.00,15.00,3,4.00,4.00,5.00,1,15.71,2,4.00,4.00,0.25,0.05,5.04,6.36,4.12,0.73,5,4,5,41.30,1.00
3360.00,3420.00,871.00,z_r2pn_to_rp1_0,611.00,4323.13,602,48.00,48.00,125.26,17,38.26,17,14.05,9.85,62.42,8.55,33.57,1.41,41.30,14.92,5,4,20,893.86,56.00
3360.00,3420.00,96.00,z_r2pn_to_rp1_1,96.00,593.64,84,18.00,18.00,37.83,3,31.42,5,8.00,8.00,9.88,1.37,17.85,1.68,14.01,2.53,8,6,9,145.12,12.00
3420.00,3480.00,1001.00,z_r2pn_to_rp1_0,798.00,5126.66,699,52.00,36.00,150.27,20,45.87,20,8.34,6.65,72.14,9.63,41.59,1.35,40.25,18.18,9,5,25,1086.42,108.00
3420.00,3480.00,73.00,z_r2pn_to_rp1_1,73.00,354.08,56,11.00,11.00,25.02,3,31.42,4,4.29,4.29,5.90,0.93,22.05,3.07,12.18,3.02,8,9,11,173.57,17.00
3480.00,3540.00,1127.00,z_r2pn_to_rp1_0,685.00,4776.77,642,41.00,26.00,149.43,20,48.12,21,17.89,10.87,71.94,9.58,34.91,1.34,35.06,15.28,4,11,24,911.49,43.00
3480.00,3540.00,15.00,z_r2pn_to_rp1_1,4.00,15.00,3,12.00,3.00,5.00,1,23.14,3,7.50,2.00,0.25,0.05,6.89,7.15,2.61,1.07,8,9,10,58.20,1.00
